news,date,label
"암호화폐 시장이 최근 조정에서 벗어나 반등 흐름을 보이면서 이번 주 미국의 핵심 경제 지표가 시장 방향을 좌우할 전망이다. 투자자들은 점차 회복되는 거래량 속에서 연준의 정책 판단 변수가 될 물가와 고용 수치를 주시하고 있다.11월 24일(현지시간) 암호화폐 전문 매체 코인게이프에 따르면, 비트코인(Bitcoin, BTC)은 지난주 8만 달러 초반까지 밀렸다가 8만 5,000달러 선을 다시 회복하며 24시간 기준 약 2% 상승했다. 같은 기간 거래량은 약 50% 증가했고, 암호화폐 시장 전체는 약 1.5% 올랐다. 전문가들은 미국 현물 ETF로 약 2억 3,800만달러 규모 자금이 들어오면서 시장 신뢰 회복이 일부 이뤄졌다고 평가했다.현재 연방준비제도 금리 인하 기대가 70% 수준까지 상승하는 등 투자심리가 개선됐다. 여기에 블랙록(BlackRock)이 제출한 이더리움(Ethereum, ETH) 스테이킹 기반 이더리움 현물 ETF 신청이 시장에 추가적인 낙관론을 더했다. 예상 연 수익률 3~4% 제시로 기관 투자 수요에 대한 기대감이 커졌다는 평가다.이번 주 금융시장에 영향을 줄 주요 일정은 생산자물가지수(PPI), 주간 실업수당 청구, 개인소비지출(PCE) 물가 지표다. 11월 25일 발표 예정인 PPI는 도매 물가 흐름을 보여주는 핵심 지표이며, 높은 수치가 나오면 금리 인하 기대가 약화될 수 있다. 11월 26일 발표되는 실업수당 청구는 최근 고용지표가 예상을 웃돌아 비트코인이 강하게 반응한 만큼 시장 변동성을 다시 자극할 가능성이 있다.가장 민감한 지표는 PCE 물가다. PCE는 소비자 지출을 실제 반영해 금융시장에서 변동성이 큰 항목으로 꼽힌다. 시장 참여자들은 이 수치가 상승할 경우 비트코인과 주요 대형 자산 전반에 즉각적인 가격 조정이 발생할 수 있다고 보고 있다. 애널리스트 올렉 칼마노비치(Oleg Kalmanovich)는 PCE와 미국 소매판매 흐름이 시장의 추가 반등 여부를 결정할 핵심이라고 진단했다.온체인 분석기관 크립토퀀트(CryptoQuant)는 단기 보유자 매도세가 상당 부분 정리됐다고 평가했다. 다만 8만 달러 지지선이 무너질 경우 조정이 장기화될 수 있다는 분석을 덧붙였다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,1
"비트코인(Bitcoin, BTC) 가격이 지난 주 급락 이후 주말 반등에 성공하며 8만 6,000달러 선을 지키고 있으나, 약해진 투자 심리와 미국 현물 상장지수펀드(ETF)의 지속적인 유출세로 인해 신중론이 확산하고 있다.11월 24일(현지시간) 암호화폐 전문 매체 코인게이프에 따르면, 비트코인(Bitcoin, BTC)은 주간 최저치까지 떨어진 후 소폭 회복하여 8만 6,000달러를 상회했다. 전체 암호화폐 시장은 지난 24시간 동안 약 1% 상승하며 며칠간의 대규모 매도세와 광범위한 청산 이후 조심스러운 투자 심리 변화를 시사했다. 이더리움(Ethereum), 리플(Ripple), 솔라나(Solana), 도지코인(Dogecoin) 등 주요 알트코인 시장 역시 소폭의 상승세로 한 주를 시작했으며, 이들 자산이 주요 지지선 위에 머물러 있어 최근의 회복세가 지속될 수 있다는 신호로 해석된다. 그러나 분석가들은 투자 심리가 여전히 취약하며 시장 모멘텀이 약화될 경우 쉽게 다시 하락할 수 있다고 경고한다.투자자들은 미국 연방준비제도(Fed)의 금리 결정 신호에도 주목하고 있다. 제롬 파월(Jerome Powell) 연준 의장은 12월 회의에서 추가 25bp(베이시스 포인트) 금리 인하 가능성을 시사할 수 있으나, 위원들 사이에서 의견이 엇갈리고 있어 결정이 쉽지 않은 상황이다. 파월 의장의 긍정적인 발언은 금융 상황을 완화시키고 비트코인 가격 등 위험 자산 상승에 긍정적인 영향을 줄 수 있을 것으로 예상된다.한편, 미국 현물 비트코인 ETF에서는 지난주에만 12억 2,000만 달러의 순유출이 발생하며 4주 연속 유출 추세를 이어갔다. 일일 순유출액은 2억 3,847만 달러에 달했으며, 월간 순유출액은 35억 5,000만 달러까지 증가하여 최근 시장 변화 속에서 투자자들의 지속적인 경계를 보여주고 있다. 이러한 대규모 자금 유출은 최근의 시장 약세에 대한 투자자들의 신중한 태도를 반영한다.비트코인 가격은 8만 6,800달러까지 상승하며 최근 급격한 매도 이후 좁은 범위에서 가격을 유지하고 있다. 이번 주 초 발생한 급격한 시장 붕괴 이후 8만 6,000달러 이상에서 안정적인 위치를 확보한 모습이다. 이동평균 수렴확산 지수(MACD) 히스토그램이 플러스 영역으로 전환되면서 강세 모멘텀이 증가하고 있음을 나타내며, 두 MACD 선이 상향 교차하면서 최근 조정 이후 수요가 개선되었음을 보여준다. 상대강도지수(RSI)는 약 47 수준으로 중립적이면서도 소폭 상승하는 추세를 나타낸다.만약 비트코인 가격이 9만 달러 저항선을 돌파하면, 모멘텀이 9만 2,000달러를 향한 상승을 지지할 수 있다. 더 강력한 상승세가 이어진다면 장기 비트코인 전망이 여전히 밝은 만큼 중기 목표치로 10만 달러 영역이 다시 주목받을 가능성이 높다. 하지만 8만 4,000달러 아래로 하락할 경우 상승세가 다시 훼손될 수 있으며, 두 번째 중요한 지지선인 8만 달러는 광범위한 강세 추세 유지에 매우 중요한 역할을 한다. 이 지지선마저 무너질 경우 시장은 더 큰 하방 위험에 노출될 수 있다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,-1
"이더리움에 직접 투자하고 있는 비트마인(Bitmine)이 지난주 총 7만 ETH를 추가 매수했다고 밝혔다. 비트마인은 23일(현지시간) 기준 362만9701 ETH(112억 달러)를 보유 중이다. ETH 이외에도 192 BTC와 3800만 달러 상당의 나스닥 상장사 에잇코홀딩스(Eightco Holdings, ORBS) 주식을 보유 중이다.",2025.11.24,1
"암호화폐 시장이 전체적으로 약세를 이어가는 가운데 비트코인(BTC), 이더리움(ETH), 엑스알피(XRP)가 주요 지지선을 지키며 단기 반등을 시도하고 있다. 다만 기술적 구조는 여전히 취약해, ETF 자금 흐름과 주간 모멘텀이 향방을 가를 전망이다.11월 24일(현지시간) 투자 전문매체 FX스트릿에 따르면, 비트코인은 이날 약 8만 6,000달러 선에서 거래되며 9만 달러 돌파 재도전을 준비하고 있다. 이더리움은 2,800달러 지지선, XRP는 2.00달러 지지선을 유지하며 단기 하락 압력 속에서도 회복 흐름을 이어가고 있다.비트코인 현물 ETF는 지난주 약한 수준이나마 기관 매수세가 돌아오며 금요일 2억 3,800만달러, 수요일 7,500만달러 순유입을 기록했다. 10월 10일 급락 이후 ETF 시장의 수요가 좀처럼 회복되지 않았던 점을 고려하면, 이번 유입은 방향성 확인을 위한 초입으로 해석된다. 향후 며칠간 ETF 흐름이 꾸준히 이어질 경우 단기 반등 시나리오에 힘이 실리겠지만, 다시 유출로 전환될 경우 9만 달러 돌파는 쉽지 않다는 분석이다.이더리움 현물 ETF도 분위기가 개선됐다. 금요일 약 5,600만달러 순유입을 기록하며 최근 8일 연속 유출 흐름을 종료했다. 다만 가격이 2,800달러대에서 반등을 시도하는 가운데, 50일 지수이동평균선(EMA)이 200일 EMA 아래로 내려가는 데드크로스(Death Cross) 가능성이 남아 있어 기술적 부담은 여전하다. 이동평균 수렴확산 지수(MACD)의 매도 신호도 유지되고 있어, 2,800달러 일일 종가 지지가 무너지면 2,500달러까지의 하락 위험이 커질 수 있다.XRP는 ETF 자금 유입과 미결제 약정(OI) 안정세가 겹치며 상대적으로 견조한 흐름을 보였다. XRP 선물 OI는 최근 2주간 30억~40억달러 범위에서 유지됐으며, 24일 기준 36억 1,000만달러로 전일 대비 소폭 증가했다. RSI는 39로 상방 반전 흐름을 보이며 매수 심리 개선을 시사한다. 2.00달러 위에서 일일 마감에 성공할 경우 2.24달러 저항 재돌파 가능성이 높아지고, 이후에는 2.38달러(50일 EMA), 2.52달러(200일 EMA)가 단계적 목표로 제시된다.비트코인의 경우 기술적 구조는 여전히 약세다. 50일 EMA(10만 2,250달러), 200일 EMA(10만 5,968달러), 100일 EMA(10만 6,485달러) 아래에 머무는 구도이며, 이동평균 수렴확산 지수(MACD)는 11월 3일부터 매도 신호가 유지되고 있다. RSI(27)는 과매도 영역에 머물며 8만 600달러 지지선 재테스트 리스크도 남아 있다. 단기적으로는 8만 8,127달러 돌파 시 9만 달러 재도전 가능성이 열릴 전망이다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,0
"이더리움 공동 설립자인 비탈릭 부테린(Vitalik Buterin)이 소셜 미디어 X(구 트위터)에 도입된 계정 국가 공개 기능을 사생활 침해 위험이 큰 조치로 규정하며 암호화폐 업계 전반의 우려에 동참하고 나섰다.11월 24일(현지시간) 암호화폐 전문 매체 코인텔레그래프에 따르면, X의 제품 책임자인 니키타 비어(Nikita Bier)는 플랫폼의 무결성을 보장하고 사용자에게 정보 확인 수단을 제공하기 위해 해당 기능이 도입되었다고 발표했다. 그러나 부테린은 국가 정보를 비동의적으로, 선택 해제(Opt-out) 옵션 없이 공개하는 것은 옳지 않다고 비판했다.부테린은 국가 정보 공개가 다양한 커뮤니티의 여론을 파악하는 등 긍정적인 효과를 가져올 수 있다고 처음에는 생각했지만, 곧 ""몇 비트의 정보 유출조차 위험할 수 있는 특정 사용자들에게 소급 적용되는 사생활 침해가 발생했다""고 우려를 표명했다. 그는 악의적인 행위자들이 이 기능을 이용해 고액 자산가 등의 개인 정보를 추적하고 실제 공격에 나설 수 있다는 암호화폐 사용자들의 지적에 동의했다.유니스왑(Uniswap) 설립자인 헤이든 아담스(Hayden Adams) 역시 이 기능에 대해 ""혐오스럽다. 자발적인 신상 공개는 괜찮지만 의무적인 신상 공개는 정신병적이다""라며 강력히 반대했다. 탈중앙 금융 플랫폼 서머파이(Summer.fi)의 최고기술책임자(CTO) 안드레이 데이비드(Andrei David)도 ""문제는 국가를 보여주는 것이 아니라 통보 없이 모든 사람을 강제적으로 노출시키는 것""이라며 사생활 보호에 민감한 기능은 항상 가장 적게 정보를 드러내는 설정으로 시작해야 한다고 강조했다.이러한 우려에 대해 비어는 ""표현의 자유에 제약이 있는 국가 사용자들을 위해 계정의 지역만 표시할 수 있는 사생활 보호 토글 기능이 있다""고 설명했다. 웹3 커뮤니티 컨설팅 그룹인 헌터스 오브 웹3(Hunters of Web3) 리더인 유저 랭게리우스(Langerius)는 사용자가 메뉴를 통해 해당 기능을 선택 해제하거나 국가 대신 지역/대륙으로 설정을 변경할 수 있는 구체적인 방법을 공유했다. 한편, 암호화폐 벤처 캐피털리스트인 닉 카터(Nic Carter)를 포함한 일부 사용자들은 해외 사용자들이 특정 국가 출신인 것처럼 위장하여 정치에 개입하는 행위를 막기 위해 이 기능이 필요하다고 주장하며 긍정적인 견해를 보였다.X의 새로운 국가 공개 기능은 플랫폼 무결성을 위한 조치라는 목적에도 불구하고, 개인의 사생활 보호와 신상 노출 위험 사이에서 명확한 논란을 낳고 있다. 특히 부테린을 비롯한 암호화폐 업계 주요 인사들이 '비동의적' 공개 방식에 강하게 반발하면서, 이 기능이 사용자들의 거센 저항에 직면할 것이라는 전망이 나온다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,-1
"도지코인, ETF 모멘텀 타고 3% 급등…‘DOGE 부처 해체’ 악재도 웃으며 넘겼다도지코인(Dogecoin, DOGE)이 ETF 상장 기대를 발판 삼아 3% 넘게 오르며 시장 약세 속에서도 반등 흐름을 이끌고 있다. 일부 악재성 뉴스에도 불구하고 수급이 살아나며 밈코인 내 강세를 재확인했다.11월 24일(현지시간) 투자 전문매체 FX스트릿에 따르면, 도지코인은 월요일 아시아 시장에서 약 0.145달러 선까지 오르며 3% 이상 상승했다. 같은 시간 코인데스크20(CD20) 지수 상승률이 0.6%대에 그친 점을 고려하면, 도지코인의 독주가 두드러진 셈이다.상승 배경에는 그레이스케일(Grayscale)이 준비 중인 도지코인 현물 ETF ‘GDOG’ 상장이 있다. 뉴욕증권거래소 아르카(NYSE Arca)에서 조만간 거래가 시작될 예정이며, 비트와이즈(Bitwise)의 경쟁 상품도 미국 증권거래위원회(SEC)의 20일 8(a) 검토 창구를 통해 빠르게 출범할 수 있다는 기대감이 더해졌다. 밈코인 시장 전반의 펀드 상장 모멘텀이 유입되며 도지코인이 반등한 모습이다.흥미롭게도 이날 도지코인 상승은 일론 머스크와 백악관 간 갈등으로 최근 해체된 정부기능효율부(D.O.G.E) 이슈와는 거리가 있었다. 이 부처는 머스크와 도널드 트럼프 대통령 간 결별 이후 불협화음이 커지며 8개월 앞당겨 사실상 기능을 종료했다. 과거 머스크 관련 뉴스가 도지코인 가격에 직접 영향을 주던 흐름과는 다른 양상이다.다만, 밈코인 중 가장 강했던 자산은 ‘고양이 테마’였다. 코인게코(CoinGecko)에 따르면 고양이 테마 밈코인 시가총액은 이날 4.2% 증가하며, 4% 오른 개 테마 밈코인을 소폭 앞질렀다. 도지코인이 주목받았지만, 시장 내부에서는 섹터 흐름이 미세하게 엇갈린 셈이다.비트코인과 이더리움이 주간 기준 9~10%가량 하락하며 전반적인 투자심리가 약화된 가운데, 도지코인이 ETF 기대감으로 단독 랠리를 이어가고 있다는 점은 단기 수급 개선 신호로 읽힌다. 기술적으로는 아직 취약한 구간이지만, 이번 반등이 추가 모멘텀으로 이어질지 시장의 관심이 모인다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,1
"비트코인·이더리움 숨 고르며 소폭 반등…미 증시 선물도 제한적 강세, 이번 주 ‘재료 대기 장세’ 이어질 듯11월 24일 오후 8시(한국시간) 기준 암호화폐 시장은 주요 종목 대부분이 약보합·소폭 반등 흐름을 보이며 전반적으로 뚜렷한 방향성을 잡지 못한 채 횡보장을 이어가고 있다. 미국 증시 선물 역시 제한적 강세에 머물러 위험자산 전반이 공통적으로 관망세에 들어간 모습이다.비트코인(Bitcoin)은 8만 6,026달러에서 1시간 기준 0.11% 오르며 단기 저점 방어 흐름을 보였다. 다만 24시간 기준 0.01% 하락, 7일 기준 9.99% 하락을 기록해 최근 조정 여파가 여전히 남아 있다. 이더리움(Ethereum)도 2,798달러에서 소폭 반등했으나 7일간 12.38% 떨어지며 상대적 약세가 이어졌다. 엑스알피(XRP)는 2.05달러로 하루 1%대 반등에 성공했지만 주간 기준 9.33% 내려 투자심리가 완전히 회복된 단계는 아닌 것으로 나타났다.시장 대기심리는 미국 증시 선물 흐름에서도 확인된다. 같은 시각 S&P 500 선물은 +0.25%, 나스닥 100 선물은 +0.45% 오르며 제한적 상승에 머물렀다. 뚜렷한 매수세가 유입됐다기보다 지난주 급락 이후 기술적 되돌림과 단기 저가 매수 수요가 반영된 수준이라는 평가다.현재 횡보장의 핵심 배경에는 세 가지 요인이 자리한다. 첫째, 12월 미국 연방준비제도(Fed) 금리 인하 확률이 다시 70% 수준까지 반등한 만큼 시장은 이벤트 전까지 과도한 베팅을 피하려는 관망세를 형성하고 있다. 둘째, 위험자산 전반은 최근 엔 캐리 트레이드 청산 가능성과 달러 강세 우려 속에서 방향성 판단이 어려운 구간에 들어간 상태다. 셋째, 약세 흐름을 이끌었던 매도 압력이 일단 진정됐지만, 그렇다고 본격 상승을 이끌 촉매가 등장한 것도 아니라는 점이 시장을 묶어두고 있다.이번 주 전망은 ‘지지선 확인 vs 재차 조정’ 두 갈래로 나뉜다. 비트코인이 8만 6,000달러대를 지지로 삼아 8만 8,000~9만 달러대 중단 저항을 돌파할 경우 단기 반등세가 강화될 가능성이 있다. 반대로 시장이 다시 위험 회피로 기울고 미국 증시 선물이 약세 전환할 경우, 비트코인은 8만 2,000달러~8만 달러선 재테스트 가능성도 남아 있다. 알트코인은 상대적으로 하락 변동성이 더 클 수 있어 주 후반 매크로 지표 발표 구간에서는 추가 경계가 필요하다.결국 이번 주 시장은 금리 인하 기대, 달러 강세, 유동성 재조정이라는 세 가지 변수의 균형 속에서 방향성이 정해질 전망이다. 뚜렷한 상승 촉매가 나오기 전까지는 제한적 반등과 가격 압축 흐름이 이어질 가능성이 높다는 것이 시장 공통의 평가다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,0
"비트와이즈(Bitwise) 최고투자책임자(CIO) 매트 호건(Matt Hougan)이 ""암호화폐 토큰들이 새로운 규제와 업그레이드를 통해 가치 포착(value capture) 능력을 높이며 효율성이 증대되고 있어, 2026년에 가격 급등을 유발할 수 있다""고 전망했다.11월 24일(현지시간) 암호화폐 전문 매체 코인텔레그래프에 따르면, 호건은 토큰의 가치 포착 수준이 상승 추세에 있음에도 불구하고 현재 시장 조정의 혼란 속에서 이러한 큰 뉴스가 묻히고 있다고 지적했다. 그는 과거 대부분의 토큰이 가치 포착이 위험했던 규제 환경에서 만들어졌기 때문에 모호한 거버넌스 디자인을 채택했지만, ""새로운 규제 환경에서는 이러한 디자인이 해체되고 있으며, 2026년에 이 효과를 느끼기 시작할 것""이라고 예측했다.호건은 유니스왑(Uniswap, UNI)의 사례를 가장 명확한 토큰 가치 포착 시도로 꼽았다. 유니스왑의 네이티브 토큰인 유니는 유니스왑 재단과 유니스왑 랩스가 토큰의 투자 매력을 높이는 안을 제안한 후 이달 초 급등했다. 제안된 아이디어 중에는 토큰 소각을 위한 프로토콜 수준의 수수료 메커니즘과 유동성 공급자 수익 증대를 위한 프로토콜 수수료 할인 경매 시스템 구축 등이 포함된다.호건은 유니의 가장 큰 단점은 항상 거버넌스 토큰 역할에 머물렀고, 유니스왑의 활동이 유니 토큰 보유자에게 이익이 되지 않았다는 점을 지적했다. 그러나 현재 유니는 수수료 스위치 활성화를 고려하고 있으며, 만약 투표가 통과되면 거래 수수료의 약 16%가 유니 소각에 사용될 예정이다. 그는 이 조치가 시간이 지나면서 유니를 시가총액 기준 상위 10위 토큰으로 밀어 올릴 수 있다고 예측했다.호건은 이더리움(Ethereum, ETH)의 푸사카(Fusaka) 업그레이드 역시 토큰 가치 포착을 ""상당히 증가시킬 수 있는"" 촉매제로 지목했다. 푸사카 업그레이드는 12월에 메인넷 출시가 예상되며, 이더리움의 실행 계층 업그레이드와 스테이킹 경제 개선 등을 포함한다.그는 ""시장이 곧 푸사카 업그레이드의 긍정적인 영향에 집중하기 시작할 것""이라며, 특히 예상대로 12월 3일에 제공된다면 시장이 간과하고 있는 촉매제이자 이더리움이 암호화폐 반등을 주도할 수 있는 이유 중 하나가 될 것이라고 언급했다. 또한, 호건은 리플(Ripple)의 XRP 토큰 역시 스테이킹 추가 가능성과 함께 가치 포착 증가의 길을 걷고 있다고 평가했다. 그는 ""XRP 커뮤니티가 토큰 보유자를 위한 경제를 변화시킬 스테이킹과 같은 아이디어를 고려하기 시작했다""고 덧붙였다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,1
"중국 암호화폐 업계의 핵심 인물들이 추진해온 5억달러 규모 이더리움(Ethereum, ETH) 디지털 자산 트레저리(DAT) 창립 계획이 시장 급랭 속에 전격 보류되면서, 아시아발 대형 기관 자금 진입 기대감이 사실상 멈춰 섰다. 이들은 수개월간 준비를 이어왔지만 악화한 투자 환경이 결정을 뒤흔드는 핵심 변수가 됐다.11월 24일(현지시간) 암호화폐 전문 매체 크립토포테이토에 따르면, 이번 프로젝트는 후오비 창업자 리옌린(Leon Li Lin), 해시키 그룹의 샤오펑(Xiao Feng), 미투 공동창업자 차이원성(Mike Cai Wensheng), 펜부시 캐피털의 션보(Bo Shen) 등이 주도한 구상이었다. 이들은 세계 2위 암호화폐인 이더리움에 집중 투자하는 DAT 기업 설립을 목표로 했으며, 이미 1억 1,000만달러의 출자 약정을 확보했지만 시장 상황 악화를 이유로 계획을 중단했다. 홍콩 규제기관이 미국처럼 DAT 모델을 받아들이지 않은 점도 영향을 준 것으로 전해졌다.시장 약세는 더욱 뚜렷했다. 비트코인(Bitcoin, BTC)은 10월 6일 12만 6,272.76달러 최고가를 기록한 뒤 6주 연속 하락하며 한때 9만달러 아래로 밀렸고, 이더리움 역시 3,000달러 이하에 머물고 있다. 리는 홍콩 행사에서 “시장 상황이 좋지 않고, 거시 환경도 명확하지 않다”고 말하며 투자자 손실 가능성이 커진 만큼 계획을 미루기로 했다고 설명했다. 사업 파트너들은 홍산 캐피털 그룹과 운펑 파이낸셜 그룹 등이 포함된 것으로 전해졌다.미투의 차이도 향후 시장 여건이 개선되면 계획을 재검토할 수 있다고 언급했다. 이들은 최근 블룸버그 보도에서 나스닥 상장 껍데기 회사를 인수해 이더리움 DAT를 출범시키는 방식을 논의했던 것으로 알려졌지만, 시장 심리 악화 속에서 전략을 전면 재정비하는 단계로 들어갔다.미국에서는 분위기가 다르게 흘러가고 있다. 몇몇 기업은 오히려 이더리움 투자 확대에 속도를 냈다. 비트마인(BitMine)은 올해 초 비트코인 채굴 기업이라는 기존 정체성을 접고 세계 최대 이더리움 법인 보유자로 변신했으며, 현재는 월가 출신이자 펀드스트랫 공동창업자인 톰 리(Tom Lee)가 회장을 맡고 있다. 리는 최근 이더리움이 자체 ‘슈퍼사이클’을 시작할 조짐이라고 평가했지만, 그럼에도 비트마인 주가는 지난 한 달간 45% 넘게 빠지며 시장 압력에서 자유롭지 않은 모습이다.이번 보류 결정은 아시아 최대 규모 DAT 설립 시도였던 만큼 시장에는 적지 않은 충격을 남겼다. 향후 계획 재개 여부는 글로벌 시장 변동성 완화와 투자 심리 회복 여부에 달려 있으며, 아시아발 기관 자금이 이더리움 생태계로 본격 유입되는 시점도 그만큼 뒤로 밀릴 가능성이 크다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,-1
"비트코인(Bitcoin, BTC), 이더리움(Ethereum, ETH), 엑스알피(XRP) 등 주요 3대 암호화폐가 지난주 대규모 조정 이후 월요일에 소폭 회복세를 보이며 핵심 지지선 위를 유지하고 있으나, 광범위한 시장 심리는 여전히 취약한 상태이다.11월 24일(현지시간) 암호화폐 전문 매체 FX스트리트에 따르면, 비트코인 가격은 11월 11일 10만 6,453달러에서 거부된 후 12일 동안 20% 넘게 급락하여 지난 금요일 8만 600달러까지 최저치를 기록했다. 비트코인은 주말 동안 소폭 반등에 성공하며 일요일에 8만 6,830달러 위에서 마감했고, 24일 현재 8만 7,700달러 위에서 회복 중이다.만약 비트코인이 현재의 회복세를 지속한다면, 다음 주요 저항선인 9만 달러를 향한 랠리를 확장할 수 있다. 일일 차트의 상대강도지수(RSI)는 지난주 과매도 임계값 아래로 미끄러진 후 30을 기록하고 있으며, 이는 약세 모멘텀이 초기 소진 징후를 보이며 하방 압력이 완화될 수 있음을 시사한다. 반면, 비트코인이 다시 조정을 겪으면 심리적 주요 수준인 8만 달러까지 하락을 연장할 가능성이 있다.이더리움 가격은 11월 13일 이전에 돌파했던 추세선에서 거부된 후 8일 동안 18% 넘게 하락하여 금요일에 2,623달러 최저점을 찍었다. 이더리움은 주말 동안 61.8% 피보나치 되돌림 수준 근처인 2,749달러에서 지지선을 찾으며 완만한 반등을 보였고, 현재 2,840달러 위에서 거래되고 있다. 이더리움이 회복을 이어간다면, 3,017달러 일일 저항선까지 랠리를 연장할 수 있다. 비트코인과 마찬가지로 이더리움의 RSI도 과매도 영역에서 반등하고 있으며, 이는 약세의 초기 소진과 잠재적인 회복 가능성을 시사한다. 반대로 이더리움이 조정을 겪으면 2,749달러 주요 지지선까지 하락할 수 있다.XRP 가격은 11월 13일 50일 지수이동평균(EMA)인 2.38달러에서 거부된 후 8일 동안 거의 19% 하락하여 금요일 1.82달러의 최저치를 기록했다. XRP는 주말 동안 1.96달러 일일 지지선 근처에서 반등하며 소폭 회복했고, 현재 2.08달러 위에서 거래되고 있다. XRP가 회복을 지속한다면 다음 일일 저항선인 2.35달러까지 랠리를 확장할 수 있다. RSI는 41을 기록하며 지난주 과매도 영역에서 반등하고 있고, 이는 약세 압력이 완화되고 있음을 시사하며 회복 관점을 뒷받침한다. 반면, XRP가 조정을 겪으면 금요일 저점인 1.82달러까지 하락할 수 있다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.11.24,-1
